CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1062487,IPO,Tunes.Com Inc,"Chicago, IL",TUNZ,Nasdaq NM,1999-06-14,9,11,$46.0 mil.,"Salomon Smith Barney, Cowen, Piper Jaffray"
1077866,IPO,LookSmart Ltd.,"San Francisco, CA",LOOK,Nasdaq NM,1999-06-14,11,13,$150.0 mil.,"Goldman Sachs & Co., Robertson Stephens, Chase H&Q, Wit Soundview"
1088022,IPO,Bamboo.Com Inc,"Palo Alto, CA",BAMB,Nasdaq NM,1999-06-14,7,7,$57.0 mil.,"Prudential Securities, Dain Rauscher Wessels, Volpe Brown Whelan & Co., E*TRADE Securities"
1088024,IPO,Webstakes Inc,"New York, NY",IWIN,Nasdaq NM,1999-06-14,13,15,$57.5 mil.,"Bear Stearns & Co., ING Barings, Thomas Weisel Partners LLC, Wit Soundview"
1042282,IPO,Silverstream Software Inc,"Burlington, MA",SSSW,Nasdaq NM,1999-06-11,13,15,$40.3 mil.,"Morgan Stanley, Robertson Stephens, Cowen"
1088000,IPO,AmericasDoctor.Com Inc,"Owings Mills, MD",AMDR,Nasdaq NM,1999-06-11,8,10,$60.0 mil.,UBS Investment Bank
1088033,IPO,Quest Software Inc,"Newport Beach, CA",QSFT,Nasdaq NM,1999-06-11,12,14,$60.0 mil.,"Robertson Stephens, Donaldson Lufkin & Jenrette, CIBC World Markets, E*TRADE Securities"
1088086,IPO,Harvardnet Inc,"Boston, MA",HVNT,Nasdaq NM,1999-06-11,13,15,$125.0 mil.,"Morgan Stanley, BofA Securities, Smith Barney"
1088147,IPO,Active Software Inc,"Santa Clara, CA",ASWX,Nasdaq NM,1999-06-11,10,12,$75.0 mil.,"Goldman Sachs & Co., Lehman Brothers, Dain Rauscher Wessels, Wit Soundview"
1088144,IPO,Rome Bancorp Inc,"Rome, NY",ROME,Nasdaq NM,1999-06-11,8,8,$14.0 mil.,"Sandler, O Neill & Partners"
1081938,IPO,Cavion Technologies Inc,"Denver, CO",CAVN,Nasdaq NM,1999-06-10,6,7.5,N/A,Neidiger Tucker Bruner Inc.
1061895,IPO,ITXC Corp,"Princeton, NJ",ITXC,Nasdaq NM,1999-06-10,11,13,$86.3 mil.,"Lehman Brothers, CIBC World Markets, First Analysis Sec."
1087728,IPO,HotJobs.Com Ltd,"New York, NY",HOTJ,Nasdaq NM,1999-06-10,9,11,$69.0 mil.,"Deutsche Bank Securities, Robertson Stephens, Cowen, E*TRADE Securities"
